"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"3599","ILMN_1791792",-0.426562257182072,-0.0372143267376238,-6.21625454235111,2.77656807284243e-09,9.3073162986814e-08,10.7394835283718,"TIGAR","TP53 induced glycolysis regulatory phosphatase"
"4123","ILMN_1813455",-0.494832335451343,0.0222458502029703,-6.21595042456971,2.78110074098516e-09,9.30929617983488e-08,10.7379050426861,"SP110","SP110 nuclear body protein"
"5144","ILMN_2331082",-0.481602465244507,-0.000245468782178218,-6.21606049656931,2.77945935547319e-09,9.30929617983488e-08,10.738476351704,"MS4A7","membrane spanning 4-domains A7"
"2412","ILMN_1743204",0.595698007417161,0.0112697295346535,6.21362469764374,2.81600492184342e-09,9.4194566900557e-08,10.7258353823259,"DUSP8","dual specificity phosphatase 8"
"5950","ILMN_3243011",-0.378861809456575,-0.0538011108712871,-6.2133780257104,2.81973204564657e-09,9.42524870827552e-08,10.7245554267219,"SDHD","succinate dehydrogenase complex subunit D"
"2747","ILMN_1756402",0.512378865309383,-0.0564021917821782,6.21255362016541,2.83222365685301e-09,9.45473138203374e-08,10.7202779209952,"TMEM177","transmembrane protein 177"
"3934","ILMN_1805481",0.474335703640391,-0.0148354760049505,6.21253174005209,2.83255592843212e-09,9.45473138203374e-08,10.7201643992306,"TRMT11","tRNA methyltransferase 11"
"3018","ILMN_1767256",0.413428690826649,-0.008143545,6.2094729336083,2.8793852410686e-09,9.60425454243722e-08,10.7042969081723,"MBTPS1","membrane bound transcription factor peptidase, site 1"
"3240","ILMN_1776640",-0.709691594583886,-0.0211291185,-6.20891907172666,2.8879455033586e-09,9.62600946147708e-08,10.7014243307009,"MPL","MPL proto-oncogene, thrombopoietin receptor"
"1680","ILMN_1711909",-0.351747270138124,0.0265978725742574,-6.20592883318695,2.93459434019308e-09,9.76819285370936e-08,10.685918619251,"EDEM2","ER degradation enhancing alpha-mannosidase like protein 2"
"3076","ILMN_1769299",-0.436106592685734,-0.0571705769851485,-6.20591963454907,2.9347389763955e-09,9.76819285370936e-08,10.6858709280872,"MTMR11","myotubularin related protein 11"
"5295","ILMN_2364376",-0.343705488459714,-0.012534889980198,-6.20535150024763,2.94368568780204e-09,9.79107174088579e-08,10.6829254781323,"ILK","integrin linked kinase"
"4826","ILMN_2199947",0.551801055154866,0.0860930805841584,6.20499658707812,2.94928826237513e-09,9.80280323154397e-08,10.6810855504643,"REV3L","REV3 like, DNA directed polymerase zeta catalytic subunit"
"5129","ILMN_2328378",0.504162476588072,-0.0355430922574257,6.20267064491396,2.98626474652413e-09,9.91872505225605e-08,10.6690292620948,"OSBPL3","oxysterol binding protein like 3"
"3012","ILMN_1766916",-0.299951843488664,-0.0285355716732673,-6.20162552810602,3.00302709336188e-09,9.96739090980848e-08,10.6636130066307,"RPAP3","RNA polymerase II associated protein 3"
"4656","ILMN_2131523",0.609162046879666,-0.0197837446980198,6.19825970045058,3.0576402637659e-09,1.01415314113713e-07,10.6461740335908,"SACS","sacsin molecular chaperone"
"3785","ILMN_1799600",-0.557171855831183,-0.0254447683019802,-6.19686699356594,3.08052185439068e-09,1.02102545757703e-07,10.6389600505956,"STARD8","StAR related lipid transfer domain containing 8"
"4157","ILMN_1815141",0.408936183662365,-0.0419681416534653,6.19662736036596,3.08447582449423e-09,1.02161905797116e-07,10.637718903149,"MTR","5-methyltetrahydrofolate-homocysteine methyltransferase"
"2508","ILMN_1746598",-0.280652452777119,0.00957044981188119,-6.19602588372252,3.09442218250327e-09,1.02347796990064e-07,10.6346037811625,"SCNM1","sodium channel modifier 1"
"2509","ILMN_1746598",-0.280652452777119,0.00957044981188119,-6.19602588372252,3.09442218250327e-09,1.02347796990064e-07,10.6346037811625,"TNFAIP8L2-SCNM1","TNFAIP8L2-SCNM1 readthrough"
"6020","ILMN_3247906",-0.2782066183045,0.0170256472673267,-6.19615587688215,3.09226988117594e-09,1.02347796990064e-07,10.6352770143589,"RNF114","ring finger protein 114"
"3632","ILMN_1793433",-0.244406811344263,0.0105793446485149,-6.19429336574348,3.12324819917852e-09,1.03228926308888e-07,10.6256320086954,"RAB10","RAB10, member RAS oncogene family"
"4349","ILMN_1900998",0.483309305636903,-0.0325344708019802,6.19413361947601,3.1259193148272e-09,1.03244961649373e-07,10.6248048554516,NA,NA
"1306","ILMN_1697268",-0.444105297346006,0.000815467004950494,-6.19097909032726,3.17912744107959e-09,1.04928978455367e-07,10.6084739402136,"EMILIN2","elastin microfibril interfacer 2"
"127","ILMN_1655497",0.286740646403907,-0.00806823798019802,6.18474360742021,3.28692867393147e-09,1.0841126270842e-07,10.5762097137921,"EIF4B","eukaryotic translation initiation factor 4B"
"5465","ILMN_2392569",-0.686709446176491,-0.0513668547970297,-6.18404135922024,3.2992916984616e-09,1.08743088771835e-07,10.5725774655663,"FPR2","formyl peptide receptor 2"
"4803","ILMN_2192316",-0.421717156502267,-0.0190380962128713,-6.18211074532196,3.33351548244475e-09,1.09794469840549e-07,10.5625931761469,"TOP1","DNA topoisomerase I"
"682","ILMN_1673363",-0.329648763831532,-0.0122742576237624,-6.1809413278352,3.35441465861152e-09,1.10388301304395e-07,10.5565464969138,"ADGRE5","adhesion G protein-coupled receptor E5"
"1224","ILMN_1694219",-0.3931257785218,-0.0261240314950495,-6.1808406759447,3.35621944640408e-09,1.10388301304395e-07,10.5560260951043,"ARIH1","ariadne RBR E3 ubiquitin protein ligase 1"
"2189","ILMN_1733757",-0.250729898521451,0.00826712911881188,-6.1792978443592,3.38400339365619e-09,1.11224679391632e-07,10.5480498971311,"TMEM179B","transmembrane protein 179B"
"5956","ILMN_3243428",0.705762273852111,0.0722664131534653,6.17650805660483,3.43481680276891e-09,1.1281629514018e-07,10.5336305863744,"SNORA77","small nucleolar RNA, H/ACA box 77"
"1333","ILMN_1698252",0.578552396957796,0.00222783854950495,6.17376554779191,3.48549805168052e-09,1.14401360999946e-07,10.5194599812235,"FANCB","FA complementation group B"
"3418","ILMN_1784005",-0.688429027132893,0.0712754812227723,-6.17173581864051,3.52347866102502e-09,1.15487453600883e-07,10.5089750963537,"RAB13","RAB13, member RAS oncogene family"
"3577","ILMN_1790909",-0.341375710907569,0.0215219461287129,-6.1717539476507,3.52313763873566e-09,1.15487453600883e-07,10.5090687341666,"NFE2L2","NFE2 like bZIP transcription factor 2"
"2990","ILMN_1766123",0.693849574467039,0.0972546465445545,6.17136538076765,3.53045400811458e-09,1.1563583443638e-07,10.5070617957992,"FHIT","fragile histidine triad diadenosine triphosphatase"
"3593","ILMN_1791388",-0.330898906438786,-0.0237734221039604,-6.16612795160949,3.63053589850952e-09,1.18831490660085e-07,10.4800190410054,"ZNF787","zinc finger protein 787"
"5592","ILMN_2413808",-0.310510756974887,0.0148639037722772,-6.16519304286511,3.64869133050679e-09,1.19343033401085e-07,10.4751934196293,"CD53","CD53 molecule"
"3565","ILMN_1790410",0.313233493656436,0.00522034192079208,6.1647486584806,3.65735222257453e-09,1.19543531366379e-07,10.4728998625546,"DROSHA","drosha ribonuclease III"
"4890","ILMN_2222872",-0.446594522702477,-0.0323462637623762,-6.163111496968,3.68943417988884e-09,1.20508759163437e-07,10.4644511199019,"RBM18","RNA binding motif protein 18"
